NOMBRE,cuerpo
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,PaísesRanking de la CorrupciónÍndice de CorrupciónVar.
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"España [+]34º61-1,61%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Alemania [+]10º800
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Reino Unido [+]11º781,30%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Francia [+]22º712,90%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Italia [+]42º565,66%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Portugal [+]32º621,64%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Estados Unidos [+]27º670
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Japón [+]18º73-1,35%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"China [+]66º457,14%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Emiratos Árabes Unidos [+]24º69-2,82%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Afganistán [+]174º16-15,79%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Albania [+]110º35-2,78%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Armenia [+]58º490
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Angola [+]136º297,41%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Argentina [+]96º38-9,52%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Austria [+]13º74-2,63%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Australia [+]18º73-5,19%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Azerbaiyán [+]128º300
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Bosnia y Herzegovina [+]110º350
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Barbados [+]29º651,56%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Bangladés [+]147º260
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Bélgica [+]18º73-3,95%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Burkina Faso [+]78º425,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Bulgaria [+]78º42-4,55%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Baréin [+]78º420
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Burundi [+]169º190
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Benín [+]78º422,44%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Bolivia [+]128º30-3,23%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Brasil [+]96º380
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Bahamas [+]30º641,59%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Bután [+]25º680
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Botsuana [+]45º55-8,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Bielorrusia [+]82º41-12,77%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Canadá [+]13º74-3,90%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"República Democrática del Congo [+]169º195,56%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"República Centroafricana [+]154º24-7,69%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"República del Congo [+]162º2110,53%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Suiza [+]7º84-1,18%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Costa de Marfil [+]105º360
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Chile [+]27º670
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Camerún [+]144º278,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Colombia [+]87º390
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Costa Rica [+]39º581,75%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Cuba [+]64º46-2,13%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Cabo Verde [+]39º580
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Chipre [+]52º53-7,02%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,República Checa [+]49º540
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Yibuti [+]128º3011,11%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Dinamarca [+]1º880
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Dominica [+]45º550
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"República Dominicana [+]128º307,14%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Argelia [+]117º33-8,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Ecuador [+]105º36-7,69%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Estonia [+]13º74-1,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Egipto [+]117º330
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Eritrea [+]161º224,76%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Etiopía [+]87º392,63%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Finlandia [+]1º883,53%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Fiyi [+]45º5537,50%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Gabón [+]124º313,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Granada [+]52º530
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Georgia [+]45º55-1,79%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Ghana [+]73º430
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Gambia [+]102º370
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Guinea [+]150º25-10,71%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Guinea Ecuatorial [+]172º176,25%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Grecia [+]58º49-2,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Guatemala [+]150º250
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Guinea-Bisáu [+]162º2110,53%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Guyana [+]87º39-4,88%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Hong Kong [+]12º76-1,30%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Honduras [+]157º23-4,17%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Croacia [+]63º470
